LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 1.0, 5665.0, 55296, 1.0, 5665.0, 55296, 26.0, 5695.0, 69632, -393.0, -1.0, 3468, -197.0, -1.0, 1728, 2874.0, 6719.0, 65567,
1, 1.0, 40801.0, 1179648, 1.0, 40801.0, 1179648, 575.0, 40831.0, 69632, -3275.0, 34213.0, 157112, -3275.0, 20879.0, 51182, 20991.0, 41855.0, 65567,
2, 1.0, 40801.0, 1179648, 1.0, 40801.0, 1179648, 575.0, 40831.0, 69632, -3275.0, 34213.0, 157112, -3275.0, 20879.0, 51182, 20991.0, 41855.0, 65567,
3, 1.0, 40801.0, 1179648, 1.0, 40801.0, 1179648, 575.0, 40831.0, 69632, -3275.0, 34213.0, 157112, -3275.0, 20879.0, 51182, 20991.0, 41855.0, 65567,
4, 1.0, 40801.0, 1179648, 1.0, 40801.0, 1179648, 575.0, 40831.0, 69632, -3275.0, 34213.0, 157112, -3275.0, 20879.0, 51182, 20991.0, 41855.0, 65567,
5, 1.0, 25202.0, 665856, 1.0, 25489.0, 737280, 575.0, 25519.0, 39552, -3275.0, 22673.0, 323138, -3275.0, 19603.0, 116682, 22316.0, 25651.0, 37023,
6, 1.0, 38817.0, 1179648, 1.0, 38817.0, 1179648, 1151.0, 38847.0, 34816, -3275.0, 35651.0, 179817, -3275.0, 38782.0, 1179648, 38847.0, 39870.0, 32768,
7, 1.0, 4866.0, 73984, 1.0, 5009.0, 81920, 63.0, 5039.0, 39552, -1703.0, -1.0, 16384, -852.0, -1.0, 8192, 4396.0, 5171.0, 37023,
8, 1.0, 38817.0, 1179648, 1.0, 38817.0, 1179648, 1151.0, 38847.0, 34816, -3275.0, 35651.0, 179817, -3275.0, 38782.0, 1179648, 38847.0, 39870.0, 32768,
9, 1.0, 38817.0, 1179648, 1.0, 38817.0, 1179648, 1151.0, 38847.0, 34816, -3275.0, 35651.0, 179817, -3275.0, 38782.0, 1179648, 38847.0, 39870.0, 32768,
10, 1.0, 29080.0, 746496, 1.0, 29105.0, 884736, 1151.0, 29135.0, 22272, -3275.0, 27753.0, 403933, -3275.0, 29075.0, 884736, 29135.0, 29782.0, 20736,
11, 1.0, 37825.0, 1179648, 1.0, 37825.0, 1179648, 2303.0, 37855.0, 17408, -2620.0, -1.0, 25600, -3275.0, 37790.0, 1179648, 37855.0, 38366.0, 16384,
12, 1.0, 4504.0, 82944, 1.0, 4529.0, 98304, 127.0, 4559.0, 22272, -852.0, -1.0, 8192, -3275.0, 4144.0, 36846, 4559.0, 5206.0, 20736,
13, 1.0, 37825.0, 1179648, 1.0, 37825.0, 1179648, 2303.0, 37855.0, 17408, -2620.0, -1.0, 25600, -3275.0, 37790.0, 1179648, 37855.0, 38366.0, 16384,
14, 1.0, 37825.0, 1179648, 1.0, 37825.0, 1179648, 2303.0, 37855.0, 17408, -2620.0, -1.0, 25600, -3275.0, 37790.0, 1179648, 37855.0, 38366.0, 16384,
15, 1.0, 37812.0, 921600, 1.0, 37825.0, 1179648, 2310.0, 37855.0, 13824, -2620.0, -1.0, 25600, -3275.0, 37790.0, 1179648, 37855.0, 38254.0, 12800,
16, 1.0, 74673.0, 1179648, 1.0, 74689.0, 2359296, 4623.0, 74719.0, 9216, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74974.0, 8192,
17, 1.0, 5044.0, 102400, 1.0, 5057.0, 131072, 262.0, 5087.0, 13824, -459.0, -1.0, 4096, -3275.0, 5046.0, 131072, 5087.0, 5486.0, 12800,
18, 1.0, 74673.0, 1179648, 1.0, 74689.0, 2359296, 4623.0, 74719.0, 9216, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74974.0, 8192,
19, 1.0, 74673.0, 1179648, 1.0, 74689.0, 2359296, 4623.0, 74719.0, 9216, -1900.0, -1.0, 18432, -3275.0, 74633.0, 2359296, 74719.0, 74974.0, 8192,
20, 1.0, 512.0, 512, 1.0, 521.0, 5120, 542.0, 551.0, 74, -66.0, -1.0, 512, -524.0, -1.0, 5120, 573.0, 573.0, 10,
