Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
conv1,34,34,3,3,3,64,1,
layer1.0.conv1,32,32,1,1,64,64,1,
layer1.0.conv2,34,34,3,3,64,64,1,
layer1.0.conv3,32,32,1,1,64,256,1,
layer1.0.shortcut.0,32,32,1,1,64,256,1,
layer1.1.conv1,32,32,1,1,256,64,1,
layer1.1.conv2,34,34,3,3,64,64,1,
layer1.1.conv3,32,32,1,1,64,256,1,
layer1.2.conv1,32,32,1,1,256,64,1,
layer1.2.conv2,34,34,3,3,64,64,1,
layer1.2.conv3,32,32,1,1,64,256,1,
layer2.0.conv1,32,32,1,1,256,128,1,
layer2.0.conv2,34,34,3,3,128,128,2,
layer2.0.conv3,16,16,1,1,128,512,1,
layer2.0.shortcut.0,32,32,1,1,256,512,2,
layer2.1.conv1,16,16,1,1,512,128,1,
layer2.1.conv2,18,18,3,3,128,128,1,
layer2.1.conv3,16,16,1,1,128,512,1,
layer2.2.conv1,16,16,1,1,512,128,1,
layer2.2.conv2,18,18,3,3,128,128,1,
layer2.2.conv3,16,16,1,1,128,512,1,
layer2.3.conv1,16,16,1,1,512,128,1,
layer2.3.conv2,18,18,3,3,128,128,1,
layer2.3.conv3,16,16,1,1,128,512,1,
layer3.0.conv1,16,16,1,1,512,256,1,
layer3.0.conv2,18,18,3,3,256,256,2,
layer3.0.conv3,8,8,1,1,256,1024,1,
layer3.0.shortcut.0,16,16,1,1,512,1024,2,
layer3.1.conv1,8,8,1,1,1024,256,1,
layer3.1.conv2,10,10,3,3,256,256,1,
layer3.1.conv3,8,8,1,1,256,1024,1,
layer3.2.conv1,8,8,1,1,1024,256,1,
layer3.2.conv2,10,10,3,3,256,256,1,
layer3.2.conv3,8,8,1,1,256,1024,1,
layer3.3.conv1,8,8,1,1,1024,256,1,
layer3.3.conv2,10,10,3,3,256,256,1,
layer3.3.conv3,8,8,1,1,256,1024,1,
layer3.4.conv1,8,8,1,1,1024,256,1,
layer3.4.conv2,10,10,3,3,256,256,1,
layer3.4.conv3,8,8,1,1,256,1024,1,
layer3.5.conv1,8,8,1,1,1024,256,1,
layer3.5.conv2,10,10,3,3,256,256,1,
layer3.5.conv3,8,8,1,1,256,1024,1,
layer4.0.conv1,8,8,1,1,1024,512,1,
layer4.0.conv2,10,10,3,3,512,512,2,
layer4.0.conv3,4,4,1,1,512,2048,1,
layer4.0.shortcut.0,8,8,1,1,1024,2048,2,
layer4.1.conv1,4,4,1,1,2048,512,1,
layer4.1.conv2,6,6,3,3,512,512,1,
layer4.1.conv3,4,4,1,1,512,2048,1,
layer4.2.conv1,4,4,1,1,2048,512,1,
layer4.2.conv2,6,6,3,3,512,512,1,
layer4.2.conv3,4,4,1,1,512,2048,1,
linear,1,1,1,1,2048,10,1,
