Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
conv1_1,32,32,3,3,3,32,1
conv2_1,16,16,3,3,32,64,1
conv3_1,8,8,3,3,64,64,1
conv4_1,4,4,3,3,64,64,1
conv5_1,8,8,3,3,64,32,1
conv6_1,16,16,3,3,32,3,1
convout,32,32,3,3,3,3,1
