Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides,
features.0,34,34,3,3,3,64,1,
features.3,34,34,3,3,64,64,1,
features.7,18,18,3,3,64,128,1,
features.10,18,18,3,3,128,128,1,
features.14,10,10,3,3,128,256,1,
features.17,10,10,3,3,256,256,1,
features.20,10,10,3,3,256,256,1,
features.23,10,10,3,3,256,256,1,
features.27,6,6,3,3,256,512,1,
features.30,6,6,3,3,512,512,1,
features.33,6,6,3,3,512,512,1,
features.36,6,6,3,3,512,512,1,
features.40,4,4,3,3,512,512,1,
features.43,4,4,3,3,512,512,1,
features.46,4,4,3,3,512,512,1,
features.49,4,4,3,3,512,512,1,
classifier,1,1,1,1,512,10,1,
