Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
conv1,32,32,3,3,3,64,1
layer1.0.conv1,32,32,3,3,64,64,1
layer1.0.conv2,32,32,3,3,64,64,1
layer1.1.conv1,32,32,3,3,64,64,1
layer1.1.conv2,32,32,3,3,64,64,1
layer2.0.conv1,32,32,3,3,64,128,2
layer2.0.conv2,16,16,3,3,128,128,1
layer2.0.shortcut.0,32,32,1,1,64,128,2
layer2.1.conv1,16,16,3,3,128,128,1
layer2.1.conv2,16,16,3,3,128,128,1
layer3.0.conv1,16,16,3,3,128,256,2
layer3.0.conv2,8,8,3,3,256,256,1
layer3.0.shortcut.0,16,16,1,1,128,256,2
layer3.1.conv1,8,8,3,3,256,256,1
layer3.1.conv2,8,8,3,3,256,256,1
layer4.0.conv1,8,8,3,3,256,512,2
layer4.0.conv2,4,4,3,3,512,512,1
layer4.0.shortcut.0,8,8,1,1,256,512,2
layer4.1.conv1,4,4,3,3,512,512,1
layer4.1.conv2,4,4,3,3,512,512,1
linear,1,1,1,1,512,10,1
