Layer name,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Strides
conv1_1,32,32,3,3,3,32,1
conv2_1,16,16,3,3,32,64,1
conv3_1,8,8,3,3,64,64,1
dconv4_1,4,4,4,4,64,64,2
dconv5_1,8,8,4,4,64,32,2
dconv6_1,16,16,4,4,32,3,2
